trial,WSLS_choice,feedback,true_noise,true_win_stay,true_lose_shift,opponent_choices,cumulative_rate_WSLS,cumulative_rate_opponent
44,1,1,0,0.3,0.5,1,0.5227272727272727,0.5
45,0,1,0,0.3,0.5,0,0.5111111111111111,0.4888888888888889
46,0,0,0,0.3,0.5,1,0.5,0.5
47,1,1,0,0.3,0.5,1,0.5106382978723404,0.5106382978723404
48,1,0,0,0.3,0.5,0,0.5208333333333334,0.5
49,1,0,0,0.3,0.5,0,0.5306122448979592,0.4897959183673469
50,1,1,0,0.3,0.5,1,0.54,0.5
51,0,1,0,0.3,0.5,0,0.5294117647058824,0.49019607843137253
52,1,0,0,0.3,0.5,0,0.5384615384615384,0.4807692307692308
53,1,1,0,0.3,0.5,1,0.5471698113207547,0.49056603773584906
54,1,1,0,0.3,0.5,1,0.5555555555555556,0.5
55,0,1,0,0.3,0.5,0,0.5454545454545454,0.4909090909090909
56,1,1,0,0.3,0.5,1,0.5535714285714286,0.5
57,0,1,0,0.3,0.5,0,0.543859649122807,0.49122807017543857
58,0,0,0,0.3,0.5,1,0.5344827586206896,0.5
59,0,1,0,0.3,0.5,0,0.5254237288135594,0.4915254237288136
60,1,1,0,0.3,0.5,1,0.5333333333333333,0.5
61,0,0,0,0.3,0.5,1,0.5245901639344263,0.5081967213114754
62,0,1,0,0.3,0.5,0,0.5161290322580645,0.5
63,1,0,0,0.3,0.5,0,0.5238095238095238,0.49206349206349204
64,0,1,0,0.3,0.5,0,0.515625,0.484375
65,1,0,0,0.3,0.5,0,0.5230769230769231,0.47692307692307695
66,0,0,0,0.3,0.5,1,0.5151515151515151,0.48484848484848486
67,1,0,0,0.3,0.5,0,0.5223880597014925,0.47761194029850745
68,1,1,0,0.3,0.5,1,0.5294117647058824,0.4852941176470588
69,0,1,0,0.3,0.5,0,0.5217391304347826,0.4782608695652174
70,1,1,0,0.3,0.5,1,0.5285714285714286,0.4857142857142857
71,0,1,0,0.3,0.5,0,0.5211267605633803,0.4788732394366197
72,1,1,0,0.3,0.5,1,0.5277777777777778,0.4861111111111111
73,0,1,0,0.3,0.5,0,0.5205479452054794,0.4794520547945205
74,1,1,0,0.3,0.5,1,0.527027027027027,0.4864864864864865
75,1,0,0,0.3,0.5,0,0.5333333333333333,0.48
76,0,0,0,0.3,0.5,1,0.5263157894736842,0.4868421052631579
77,1,0,0,0.3,0.5,0,0.5324675324675324,0.4805194805194805
78,0,1,0,0.3,0.5,0,0.5256410256410257,0.47435897435897434
79,1,0,0,0.3,0.5,0,0.5316455696202531,0.46835443037974683
80,1,1,0,0.3,0.5,1,0.5375,0.475
81,1,1,0,0.3,0.5,1,0.5432098765432098,0.48148148148148145
82,0,1,0,0.3,0.5,0,0.5365853658536586,0.47560975609756095
83,1,0,0,0.3,0.5,0,0.54216867469879515,0.46987951807228917
84,0,0,0,0.3,0.5,1,0.5357142857142857,0.47619047619047616
85,1,0,0,0.3,0.5,0,0.5411764705882353,0.47058823529411764
86,0,0,0,0.3,0.5,1,0.5348837209302325,0.47674418604651164
87,1,0,0,0.3,0.5,0,0.5402298850574713,0.47126436781609193
88,0,1,0,0.3,0.5,0,0.5340909090909091,0.4659090909090909
89,1,0,0,0.3,0.5,0,0.5393258426966292,0.4606741573033708
90,1,1,0,0.3,0.5,1,0.5444444444444444,0.4666666666666667
91,0,1,0,0.3,0.5,0,0.5384615384615384,0.46153846153846156
92,1,1,0,0.3,0.5,1,0.5434782608695652,0.4673913043478261
93,0,1,0,0.3,0.5,0,0.5376344086021505,0.46236559139784944
94,0,1,0,0.3,0.5,0,0.5319148936170213,0.4574468085106383
95,1,0,0,0.3,0.5,0,0.5368421052631579,0.45263157894736844
96,0,0,0,0.3,0.5,1,0.53125,0.4583333333333333
97,1,0,0,0.3,0.5,0,0.5360824742268041,0.4536082474226804
98,0,1,0,0.3,0.5,0,0.5306122448979592,0.4489795918367347
99,1,0,0,0.3,0.5,0,0.5353535353535354,0.4444444444444444
100,0,0,0,0.3,0.5,1,0.53,0.45
101,0,1,0,0.3,0.5,0,0.5247524752475248,0.44554455445544555
102,0,0,0,0.3,0.5,1,0.5196078431372549,0.45098039215686275
103,0,1,0,0.3,0.5,0,0.5145631067961165,0.44660194174757284
104,1,0,0,0.3,0.5,0,0.5192307692307693,0.4423076923076923
105,0,1,0,0.3,0.5,0,0.5142857142857142,0.4380952380952381
106,1,0,0,0.3,0.5,0,0.5188679245283019,0.4339622641509434
107,0,1,0,0.3,0.5,0,0.514018691588785,0.42990654205607476
108,1,0,0,0.3,0.5,0,0.5185185185185185,0.42592592592592593
109,1,0,0,0.3,0.5,0,0.5229357798165137,0.42201834862385323
110,0,1,0,0.3,0.5,0,0.5181818181818182,0.41818181818181815
111,0,0,0,0.3,0.5,1,0.5135135135135135,0.42342342342342343
112,0,1,0,0.3,0.5,0,0.5089285714285714,0.41964285714285715
113,0,0,0,0.3,0.5,1,0.504424778761062,0.4247787610619469
114,0,1,0,0.3,0.5,0,0.5,0.42105263157894735
115,1,0,0,0.3,0.5,0,0.5043478260869565,0.41739130434782606
116,1,1,0,0.3,0.5,1,0.5086206896551724,0.4224137931034483
117,0,0,0,0.3,0.5,1,0.5042735042735043,0.42735042735042733
118,0,1,0,0.3,0.5,0,0.5,0.423728813559322
119,1,0,0,0.3,0.5,0,0.5042016806722689,0.42016806722689076
120,1,1,0,0.3,0.5,1,0.5083333333333333,0.425
1,0,1,0,0.3,0.7,0,0,0
2,1,1,0,0.3,0.7,1,0.5,0.5
3,0,0,0,0.3,0.7,1,0.3333333333333333,0.6666666666666666
4,1,1,0,0.3,0.7,1,0.5,0.75
5,0,0,0,0.3,0.7,1,0.4,0.8
6,0,0,0,0.3,0.7,1,0.3333333333333333,0.8333333333333334
7,1,0,0,0.3,0.7,0,0.42857142857142855,0.7142857142857143
8,0,1,0,0.3,0.7,0,0.375,0.625
9,1,1,0,0.3,0.7,1,0.4444444444444444,0.6666666666666666
10,0,0,0,0.3,0.7,1,0.4,0.7
11,0,0,0,0.3,0.7,1,0.36363636363636365,0.7272727272727273
12,1,1,0,0.3,0.7,1,0.4166666666666667,0.75
13,0,1,0,0.3,0.7,0,0.38461538461538464,0.6923076923076923
14,1,1,0,0.3,0.7,1,0.42857142857142855,0.7142857142857143
15,0,1,0,0.3,0.7,0,0.4,0.6666666666666666
16,1,1,0,0.3,0.7,1,0.4375,0.6875
